important_features,category
3157, Raids
3177, Raids
2768, Argent Tournament
9612, Draenor
6460, Pandaria Dungeon
1190, Outland
2980, Raids
11607, Legion
10697, Legion Raid
6946, Pandaria Dungeon
7371, Archaeology
167, Warsong Gulch
1252, Warsong Gulch
5301, Archaeology
9912, Draenor Garrison
12937, Battle Raid
6943, Pandaria Scenarios
2914, Raids
7331, Archaeology
11240, Legion
10776, Legion Dungeon
12889, War Effort
7373, Archaeology
9083, Draenor Dungeon
8214, Player vs. Player
6127, Cataclysm Dungeon
7290, Pandaria
7368, Archaeology
7307, Pandaria
12823, Battle Raid
3778, Lich King Dungeon
9456, Fishing
3011, Raids
3182, Raids
9914, Draenor Garrison
2146, Lich King Raid
10413, Legion Dungeon
9132, Draenor Garrison
5253, Battle for Gilneas
672, The Burning Crusade
3012, Raids
13623, World
7468, Events
4927, Kalimdor
7366, Archaeology
7991, Pandaria Scenarios
7336, Archaeology
7099, Silvershard Mines
12772, Battle Raid
2050, Lich King Raid
9656, Draenor
7370, Archaeology
8720, Pandaria
13706, Battle Dungeon
7266, Pandaria Scenarios
40, Northrend
4918, Professions
2040, Lich King Dungeon
10830, Legion Raid
3180, Raids
8981, Draenor Raid
2915, Raids
8872, Dungeons
7308, Pandaria
8107, Pandaria
7467, Events
5249, Battle for Gilneas
3457, World Events
7992, Pandaria Scenarios
2973, Raids
2178, Lich King Raid
7375, Archaeology
10603, Archaeology
8011, Pandaria Scenarios
12765, Archaeology
6912, Dungeons
8873, Dungeons
11264, Legion
2989, Raids
8010, Pandaria Scenarios
7332, Archaeology
13750, Battle for Azeroth
7364, Archaeology
12571, World
9548, Draenor
12849, Battle for Azeroth
2963, Raids
1413, Feats of Strength
5383, Feats of Strength
10593, Cooking
4915, Professions
7358, Archaeology
3178, Raids
9458, Fishing
4815, Lich King Raid
1858, Lich King Raid
12756, Fishing
9600, Draenor
8098, Pandaria Raid
3436, Player vs. Player
13759, Battle for Azeroth
12998, Battle Dungeon
9459, Fishing
7362, Archaeology
4849, Cataclysm Raid
209, Eye of the Storm
6909, Dungeons
2051, Lich King Raid
9483, Draenor
9225, Ashran
8880, Dungeons
5417, Tol Barad
6684, Pandaria Dungeon
11948, Legion Raid
9422, Archaeology
4856, Archaeology
3336, Player vs. Player
3076, Raids
2763, Argent Tournament
3176, Raids
8892, Dungeons
4933, Kalimdor
2182, Lich King Raid
2931, Raids
8979, Draenor Raid
8359, Battlegrounds
7372, Archaeology
2937, Raids
11432, Legion Dungeon
2911, Raids
284, Hallow's End
1723, Wintergrasp
3159, Raids
12870, War Effort
8453, Pandaria Raid
12764, Archaeology
13025, Battle for Azeroth
7993, Pandaria Scenarios
969, Hallow's End
9461, Fishing
3596, Pilgrim's Bounty
9216, Ashran
9547, Fishing
