"391.0","","Farling","Hoss","US-Draenor","30865.0"
"391.0","","Nachtwarrior","Angry","US-Illidan","30865.0"
"391.0","","Eriya","Better Part of Valor","US-Elune","30865.0"
"391.0","","Zohtaren","Álcool Finder","US-Azralon","30865.0"
"395.0","","Sharpbladez","Eat Sleep Game Repeat","US-Proudmoore","30860.0"
"395.0","","Dovesary","Engineering Madness","US-Drenden","30860.0"
"395.0","","Ravencat","Undecided","US-Mug'thol","30860.0"
"398.0","","Darktalyn","Inversion","US-Ravencrest","30855.0"
"399.0","","Shibze","Blacklisted","US-Kil'jaeden","30850.0"
"400.0","","Octostar","","US-Sargeras","30845.0"
"400.0","","Mcconnell","So Others May Live","US-Sargeras","30845.0"
"402.0","","Weetzie","Goon Squad","US-Mal'Ganis","30840.0"
"402.0","","Nathure","Murloc n Roll","US-Azralon","30840.0"
"404.0","","Cyordin","Dragonscarred","US-Whisperwind","30830.0"
"404.0","","Keliara","Bad","US-Dragonmaw","30830.0"
"406.0","","Mappr","Nurfed","US-Tichondrius","30825.0"
"406.0","","Katamisha","Blood Legion","US-Illidan","30825.0"
"406.0","","Arcool","Loot Caboose","US-Proudmoore","30825.0"
"406.0","","Cupofsoup","Bearly Acceptable","US-Kil'jaeden","30825.0"
"410.0","","Staburankle","Kami no Bushido","US-Arathor","30800.0"
"410.0","","Raefield","stay at home dads","US-Tichondrius","30800.0"
"412.0","","Zeemma","Back Off I Bite","US-Kilrogg","30795.0"
"413.0","","Serephem","Endless Kingdom","US-Proudmoore","30790.0"
"414.0","","Scarletwynd","Kentucky Fried Fury","US-Lightbringer","30785.0"
"415.0","","Navimie","Frostwolves","US-Saurfang","30775.0"
"416.0","","Zy","nVus","US-Mal'Ganis","30770.0"
"417.0","","Glitter","Sanctimonious","US-Sargeras","30765.0"
"417.0","","Wrashis","Dark Phoenix","US-Suramar","30765.0"
"419.0","","Williamt","Gummy Bear Gang","US-Hellscream","30755.0"
"420.0","","Slick","Did We Log","US-Mal'Ganis","30750.0"
